Name;Offset;Val_g3;Val_g4;Size;Type
A429_2AB_RX_SDI_LABEL[69];0x000002DA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[70];0x000002DC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[71];0x000002DE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[72];0x000002E0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[73];0x000002E2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[74];0x000002E4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[75];0x000002E6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[76];0x000002E8;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[77];0x000002EA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[78];0x000002EC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[79];0x000002EE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[80];0x000002F0;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[81];0x000002F2;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[82];0x000002F4;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[83];0x000002F6;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[84];0x000002F8;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[85];0x000002FA;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[86];0x000002FC;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[87];0x000002FE;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[88];0x00000300;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[89];0x00000302;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[90];0x00000304;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[91];0x00000306;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[92];0x00000308;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[93];0x0000030A;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[94];0x0000030C;0x800;0x800;2;Unsigned Short
A429_2AB_RX_SDI_LABEL[95];0x0000030E;0x800;0x800;2;Unsigned Short
